,Racist tokens
887,kind
888,minor
889,saudi
890,use
891,full
892,minor
893,turkey
894,egypt
895,use
896,mostli
897,christian
898,muslim
899,mostli
900,extermin
901,see
902,isi
903,follow
904,quran
905,hadith
906,prophet
907,exactli
908,genocid
909,flap
910,lip
911,none
912,relat
913,barbar
914,islam
915,?
916,stupid
917,comment
918,hitler
919,n't
920,religi
921,muslim
922,lie
923,truth
924,hitler
925,admir
926,muslim
927,@
928,pleas
929,hitler
930,grand
931,mufti
932,provid
933,hitler
934,w/
935,armi
936,muslim
937,soldier
938,europ
939,call
940,execut
941,convers
942,sword
943,point
944,welcom
945,quot
946,mean
947,exactli
948,say
949,peopl
950,natur
951,less
952,hate
953,islam
954,incit
955,hatr
956,central
957,islam
958,order
959,promot
960,imperi
961,http
962,congratul
963,get
964,put
965,x
966,bullshit
967,bing
968,card
969,http
970,religion
971,does't
972,mean
973,n't
974,want
975,stop
976,islam
977,murder
978,http
979,n't
980,need
981,pervert
982,religion
983,feel
984,compass
985,human
986,http
987,look
988,size
989,israel
990,yet
991,muslim
992,slaver
993,destroy
994,http
995,jew
996,use
997,live
998,%
999,arabian
1000,penninsula
1001,muslim
1002,virtual
1003,extermin
1004,hadith
1005,arabian
1006,penninsula
1007,muslim
1008,rest
1009,till
1010,destroy
1011,israel
1012,hadith
1013,specif
1014,ap
1015,mani
1016,other
1017,specif
1018,war
1019,non
1020,believ
1021,everywher
1022,million
1023,african
1024,murder
1025,islam
1026,http
1027,ye
1028,murder
1029,fraudul
1030,god
1031,everi
1032,religion
1033,use
1034,excus
1035,mankind
1036,would
1037,dead
1038,n't
1039,guarante
1040,protect
1041,guarante
1042,third
1043,class
1044,citizenship
1045,extort
1046,peopl
1047,peopl
1048,book
1049,guarante
1050,death
1051,slaveri
1052,n't
1053,want
1054,teach
1055,want
1056,stop
1057,taquiyya
1058,lie
1059,thank
1060,admit
1061,murder
1062,check
1063,map
1064,http
1065,actual
1066,islam
1067,destroy
1068,crime
1069,human
1070,prophet
1071,start
1072,extermin
1073,jew
1074,begin
1075,like
1076,destruct
1077,khybar
1078,text
1079,fraud
1080,brought
1081,pedophil
1082,slave
1083,trader
1084,rapist
1085,murder
1086,bigot
1087,sexist
1088,robber
1089,idiot
1090,n't
1091,understand
1092,prophet
1093,islam
1094,declar
1095,war
1096,human
1097,year
1098,ago
1099,http
1100,real
1101,piss
1102,drinker
1103,muslim
1104,proof
1105,http
1106,guess
1107,call
1108,murder
1109,rape
1110,slaveri
1111,hatr
1112,bigotri
1113,sexism
1114,beauti
1115,beauti
1116,mani
1117,hindu
1118,extermin
1119,british
1120,...
1121,...
1122,unseat
1123,muslim
1124,power
1125,muslim
1126,power
1127,either
1128,british
1129,show
1130,muslim
1131,murder
1132,million
1133,hindu
1134,today
1135,still
1136,peac
1137,muslim
1138,reason
1139,peac
1140,hindu
1141,power
1142,next
1143,door
1144,pakistan
1145,muslim
1146,still
1147,murder
1148,christian
1149,hindu
1150,regularli
1151,claim
1152,``
1153,oh
1154,insult
1155,religion
1156,kill
1157,realli
1158,?
1159,prophet
1160,also
1161,?
1162,http
1163,muslim
1164,fight
1165,jew
1166,hindu
1167,buddhist
1168,christian
1169,atheist
1170,animist
1171,somewher
1172,world
1173,islam
1174,bloodi
1175,border
1176,everywher
1177,get
1178,along
1179,anyon
1180,realli
1181,muslim
1182,understand
1183,want
1184,abl
1185,use
1186,name
1187,``
1188,racism
1189,shut
1190,us
1191,goe
1192,term
1193,``
1194,islamophobia
1195,make
1196,much
1197,sens
1198,``
1199,naziphobia
1200,could
1201,deal
1202,violent
1203,fanat
1204,text
1205,islam
1206,n't
1207,produc
1208,children
1209,grow
1210,fairi
1211,tale
1212,muslim
1213,never
1214,grow
1215,land
1216,muslim
1217,coloni
1218,huge
1219,lie
1220,coloni
1221,everyth
1222,sword
1223,point
1224,guess
1225,time
1226,learn
1227,racism
1228,islam
1229,http
1230,peopl
1231,call
1232,islam
1233,racist
1234,know
1235,islam
1236,race
1237,want
1238,intimid
1239,other
1240,shut
1241,prophet
1242,moham
1243,terrorist
1244,knew
1245,islam
1246,islam
1247,liar
1248,http
1249,love
1250,jihad
1251,muslim
1252,lure
1253,young
1254,hindu
1255,girl
1256,forc
1257,convert
1258,islam
1259,romeo
1260,go
1261,next
1262,prey
1263,islam
1264,year
1265,contribut
1266,noth
1267,mankind
1268,murder
1269,hatr
1270,delusion
1271,?
1272,islam
1273,one
1274,violent
1275,barbar
1276,http
1277,question
1278,hope
1279,peac
1280,coexist
1281,islam
1282,answer
1283,koran
1284,preach
1285,murder
1286,rape
1287,paedophillia
1288,slaveri
1289,war
1290,manual
1291,...
1292,read
1293,quran
1294,hadith
1295,disgust
1296,inhuman
1297,would
1298,read
1299,lie
1300,islam
1301,see
1302,quran
1303,hadith
1304,?
1305,muslim
1306,terrorist
1307,murder
1308,peopl
1309,pari
1310,terrorist
1311,attack
1312,sinc
1313,/
1314,aberr
1315,real
1316,muslim
1317,race
1318,idiot
1319,cult
1320,murder
1321,terror
1322,http
1323,religion
1324,statist
1325,even
1326,close
1327,product
1328,terror
1329,islam
1330,cult
1331,murder
1332,declar
1333,war
1334,human
1335,year
1336,ago
1337,proof
1338,http
1339,bad
1340,logic
1341,muslim
1342,book
1343,hatr
1344,murder
1345,tell
1346,would
1347,dead
1348,/
1349,muslim
1350,believ
1351,peopl
1352,want
1353,leav
1354,religion
1355,murder
1356,http
1357,last
1358,year
1359,islam
1360,contribut
1361,noth
1362,mankind
1363,murder
1364,http
1365,sinc
1366,/
1367,believ
1368,peopl
1369,leav
1370,religion
1371,murder
1372,moder
1373,muslim
1374,http
1375,notic
1376,/
1377,muslim
1378,want
1379,sharia
1380,sharia
1381,say
1382,apost
1383,must
1384,kill
1385,/
1386,support
1387,directli
1388,http
1389,notic
1390,news
1391,media
1392,avoid
1393,point
1394,murder
1395,french
1396,follow
1397,death
1398,cult
1399,us
1400,attack
1401,terrorist
1402,dictat
1403,religion
1404,oppos
1405,freedom
1406,democraci
1407,http
1408,okay
1409,understand
1410,religion
1411,terrorist
1412,n't
1413,@
1414,children
1415,pakistan
1416,journalist
1417,pari
1418,shopper
1419,australia
1420,ezidi
1421,iraq
1422,come
1423,death
1424,cult
1425,gunmen
1426,muslim
1427,terrorist
1428,sad
1429,exactli
1430,terrorist
1431,want
1432,islam
1433,wors
1434,nazi
1435,parti
1436,ever
1437,liar
1438,tri
1439,shut
1440,peopl
1441,use
1442,term
1443,islam
1444,race
1445,know
1446,death
1447,cult
1448,children
1449,prophet
1450,moham
1451,told
1452,reproduct
1453,imperi
1454,sound
1455,/
1456,think
1457,peopl
1458,leav
1459,islam
1460,murder
1461,?
1462,http
1463,small
1464,percentag
1465,?
1466,major
1467,radic
1468,http
1469,freedom
1470,speech
1471,insult
1472,someon
1473,hate
1474,fill
1475,religion
1476,exclud
1477,?
1478,http
1479,mani
1480,ideolog
1481,islam
1482,declar
1483,war
1484,human
1485,race
1486,year
1487,ago
1488,http
1489,hebdo
1490,editor
1491,kill
1492,pari
1493,terror
1494,attack
1495,built
1496,career
1497,defianc
1498,http
1499,hebdo
1500,editor
1501,kill
1502,pari
1503,terror
1504,attack
1505,built
1506,career
1507,defianc
1508,http
1509,media
1510,talk
1511,head
1512,ever
1513,broach
1514,subject
1515,incompat
1516,free
1517,speech
1518,democraci
1519,?
1520,pc
1521,coward
1522,?
1523,via
1524,dead
1525,shoot
1526,satir
1527,public
1528,offic
1529,pari
1530,http
1531,proven
1532,pr
1533,work
1534,perfectli
1535,muslim
1536,invad
1537,europ
1538,th
1539,cent
1540,militari
1541,defeat
1542,stop
1543,pacificim
1544,solut
1545,hindu
1546,tri
1547,muslim
1548,slaughter
1549,year
1550,fight
1551,war
1552,islam
1553,earnest
1554,never
1555,know
1556,get
1557,us
1558,say
1559,islam
1560,religion
1561,say
1562,cult
1563,islam
1564,activ
1565,match
1566,descript
1567,crime
1568,mafia
1569,must
1570,bust
1571,/
1572,religion
1573,readi
1574,murder
1575,apost
1576,``
1577,moder
1578,muslim
1579,http
1580,islam
1581,declar
1582,war
1583,human
1584,year
1585,ago
1586,wake
1587,piss
1588,hear
1589,politician
1590,celebr
1591,like
1592,tri
1593,lessen
1594,islam
1595,role
1596,islam
1597,accord
1598,ex-muslim
1599,guy
1600,pakistaniguydonthugmemysuicidejacketmigh
1601,tgooff
1602,think
1603,...
1604,http
1605,//
1606,prophet
1607,moham
1608,also
1609,peopl
1610,murder
1611,spoke
1612,said
1613,incoher
1614,proof
1615,islam
1616,declar
1617,war
1618,human
1619,http
1620,say
1621,freedom
1622,express
1623,extend
1624,everyon
1625,insult
1626,phoni
1627,pedophil
1628,prophet
1629,nobodi
1630,care
1631,honor
1632,mean
1633,fool
1634,oblig
1635,honor
1636,slave
1637,trader
1638,caravan
1639,robber
1640,could
1641,care
1642,less
1643,much
1644,love
1645,fraud
1646,right
1647,think
1648,way
1649,want
1650,express
1651,alreadi
1652,found
1653,islam
1654,vile
1655,bigot
1656,hate
1657,murder
1658,sexist
1659,slaveri
1660,support
1661,cult
1662,religi
1663,war
1664,jihad
1665,cornerston
1666,religion
1667,possibl
1668,reform
1669,polit
1670,satir
1671,alway
1672,piss
1673,someon
1674,religion
1675,hatr
1676,murder
1677,exclud
1678,need
1679,outlaw
1680,islam
1681,outright
1682,talk
1683,bullshit
1684,inform
1685,clear
1686,major
1687,muslim
1688,moder
1689,http
1690,talk
1691,like
1692,idiot
1693,religion
1694,say
1695,chang
1696,noth
1697,muslim
1698,extremist
1699,editori
1700,murder
1701,soul
1702,radic
1703,islam
1704,attack
1705,foundat
1706,western
1707,civil
1708,http
1709,http
1710,nun
1711,wear
1712,chosen
1713,rob
1714,clergi
1715,everi
1716,woman
1717,requir
1718,wear
1719,sexist
1720,religion
1721,woman
1722,wear
1723,bikini
1724,wear
1725,cover
1726,everyth
1727,choic
1728,make
1729,choic
1730,islam
1731,beaten
1732,one
1733,piec
1734,lie
1735,propaganda
1736,muslim
1737,tri
1738,fool
1739,western
1740,stori
1741,http
1742,franc
1743,verg
1744,major
1745,cultur
1746,backlash
1747,even
1748,moder
1749,islam
1750,tension
1751,built
1752,decad
1753,line
1754,take
1755,poll
1756,see
1757,/
1758,christian
1759,think
1760,gay
1761,kill
1762,christian
1763,ban
1764,like
1765,islam
1766,declar
1767,war
1768,human
1769,quran
1770,year
1771,ago
1772,like
1773,writer
1774,blab
1775,endlessli
1776,expert
1777,without
1778,ever
1779,read
1780,quran
1781,hadith
1782,msm
1783,insist
1784,islam
1785,connect
1786,w/terror
1787,censor
1788,cartoon
1789,cuz
1790,fear
1791,murder
1792,religion
1793,islam
1794,violent
1795,religion
1796,unbeliev
1797,way
1798,journalist
1799,fall
1800,make
1801,excus
1802,barbar
1803,islam
1804,one
1805,read
1806,quran
1807,islam
1808,full
1809,incit
1810,murder
1811,unbeliev
1812,talk
1813,?
1814,ye
1815,accord
1816,islam
1817,muslim
1818,encourag
1819,kill
1820,muslim
1821,issu
1822,hindu
1823,ye
1824,quran
1825,tell
1826,muslim
1827,murder
1828,peopl
1829,religion
1830,http
1831,accord
1832,canon
1833,prophet
1834,pedophil
1835,murder
1836,rapist
1837,caravan
1838,robber
1839,slave
1840,trader
1841,sexist
1842,bigot
1843,twist
1844,logic
1845,world
1846,islam
1847,http
1848,islam
1849,forbid
1850,anyth
1851,sick
1852,cult
1853,power
1854,law
1855,netanyahu
1856,pari
1857,massacr
1858,show
1859,radic
1860,islam
1861,?know
1862,border?
1863,-
1864,israel
1865,news
1866,http
1867,via
1868,read
1869,entir
1870,quran
1871,islam
1872,wrong
1873,a.
1874,n't
1875,prophet
1876,b.
1877,peac
1878,year
1879,isi
1880,prophet
1881,moham
1882,also
1883,?
1884,complet
1885,pictur
1886,bigotri
1887,islam
1888,select
1889,lie
1890,http
1891,moham
1892,led
1893,major
1894,militari
1895,expedit
1896,offens
1897,rape
1898,rob
1899,murder
1900,lie
1901,slave
1902,pedophil
1903,karen
1904,armstrong
1905,interest
1906,write
1907,hero
1908,worship
1909,book
1910,would
1911,sell
1912,muslim
1913,narrow
1914,pictur
1915,n't
1916,care
1917,none
1918,moham
1919,busi
1920,religion
1921,someon
1922,want
1923,choos
1924,religion
1925,islam
1926,clearli
1927,barbar
1928,inhuman
1929,zero
1930,god
1931,one
1932,must
1933,imagin
1934,god
1935,insult
1936,hate
1937,war
1938,monger
1939,decis
1940,bigot
1941,sexist
1942,religion
1943,call
1944,muslim
1945,relationship
1946,god
1947,fear
1948,told
1949,fear
1950,allah
1951,quran
1952,occur
1953,idiot
1954,would
1955,imagin
1956,god
1957,want
1958,fear
1959,n't
1960,``
1961,follow
1962,god
1963,one
1964,imagin
1965,satan
1966,invent
1967,religion
1968,would
1969,like
1970,islam
1971,prophet
1972,behead
1973,peopl
1974,like
1975,isi
1976,-
1977,ye
1978,enslav
1979,peopl
1980,like
1981,isi
1982,-
1983,ye
1984,murder
1985,peopl
1986,like
1987,isi
1988,-
1989,ye
1990,prophet
1991,rape
1992,slave
1993,like
1994,isi
1995,-
1996,ye
1997,prophet
1998,tell
1999,women
2000,cover
2001,stay
2002,home
2003,like
2004,isi
2005,-
2006,ye
2007,prophet
2008,murder
2009,apost
2010,-
2011,ye
2012,prophet
2013,rob
2014,caravan
2015,commit
2016,genocid
2017,-
2018,ye
2019,look
2020,like
2021,baghdadi
2022,carbon
2023,copi
2024,moham
2025,without
2026,propheci
2027,idea
2028,``
2029,moder
2030,muslim
2031,oversold
2032,extremist
2033,http
2034,nobodi
2035,care
2036,law
2037,protect
2038,women
2039,moham
2040,phoni
2041,law
2042,abus
2043,women
2044,``
2045,mainstream
2046,?
2047,forget
2048,murder
2049,christian
2050,close
2051,univers
2052,murder
2053,doctor
2054,women
2055,lock
2056,home
2057,``
2058,mainstream
2059,muslim
2060,also
2061,radic
2062,http
2063,like
2064,say
2065,freedom
2066,limit
2067,allow
2068,kill
2069,muslim
2070,``
2071,religi
2072,freedom
2073,involv
2074,deni
2075,other
2076,freedom
2077,islam
2078,must
2079,outlaw
2080,n't
2081,realli
2082,care
2083,muslim
2084,practic
2085,care
2086,islam
2087,encourag
2088,murder
2089,hatr
2090,sexism
2091,obvious
2092,drive
2093,meme
2094,islam
2095,world
2096,domin
2097,forc
2098,intimid
2099,persuas
2100,kill
2101,don
2102,?
2103,give
2104,us
2105,bunch
2106,virgin
2107,heaven
2108,?
2109,muhammad
2110,inventor
2111,thigh
2112,start
2113,molest
2114,aisha
2115,year
2116,old
2117,cc
2118,stop
2119,threaten
2120,peopl
2121,get
2122,want
2123,peopl
2124,hate
2125,religion
2126,manipul
2127,threaten
2128,bs
2129,prove
2130,peopl
2131,intimid
2132,follow
2133,god
2134,terror
2135,peopl
2136,fill
2137,``
2138,void
2139,empti
2140,kind
2141,imaginari
2142,nonsens
2143,includ
2144,allah
2145,cri
2146,microbrain
2147,islam
2148,declar
2149,war
2150,human
2151,year
2152,ago
2153,know
2154,religion
2155,pure
2156,evil
2157,complain
2158,?
2159,islam
2160,ethnic
2161,cleans
2162,everybodi
2163,year
2164,n't
2165,time
2166,return
2167,favor
2168,?
2169,dead
2170,daesh
2171,baghdadi
2172,ran
2173,like
2174,coward
2175,behead
2176,flee
2177,like
2178,men
2179,gwer
2180,good
2181,reason
2182,practic
2183,religion
2184,declar
2185,war
2186,human
2187,year
2188,ago
2189,read
2190,quran
2191,hate
2192,monger
2193,piec
2194,filth
2195,http
2196,doctrin
2197,support
2198,terror
2199,violenc
2200,http
2201,hope
2202,english
2203,come
2204,moron
2205,hate
2206,monger
2207,get
2208,world
2209,recogn
2210,islam
2211,declar
2212,war
2213,human
2214,ago
2215,outlaw
2216,annoy
2217,deni
2218,right
2219,n't
2220,give
2221,other
2222,hypocrit
2223,dumb
2224,muslim
2225,complain
2226,freedom
2227,speech
2228,support
2229,blasphemi
2230,law
2231,time
2232,disgust
2233,inhuman
2234,religion
2235,muslim
2236,brain
2237,dead
2238,repeat
2239,other
2240,said
2241,million
2242,time
2243,holland
2244,leader
2245,understand
2246,islam
2247,quran
2248,radic
2249,islam
2250,outlaw
2251,islam
2252,bill
2253,maher
2254,doubl
2255,islam
2256,?terrorist
2257,mainstream
2258,share
2259,lot
2260,bad
2261,ideas?
2262,http
2263,search
2264,object
2265,find
2266,pedophil
2267,prophet
2268,moham
2269,declar
2270,war
2271,human
2272,year
2273,ago
2274,call
2275,moder
2276,muslim
2277,never
2278,ask
2279,islam
2280,terrorist
2281,group
2282,religion
2283,remot
2284,close
2285,muslim
2286,n't
2287,follow
2288,quran
2289,hadith
2290,peac
2291,follow
2292,alway
2293,violent
2294,islam
2295,religion
2296,hate
2297,violenc
2298,deceit
2299,http
2300,peopl
2301,like
2302,holland
2303,acknowledg
2304,teach
2305,murder
2306,hatr
2307,alway
2308,deal
2309,symptom
2310,problem
2311,lie
2312,religion
2313,disgust
2314,terrorist
2315,hate
2316,monger
2317,piec
2318,filth
2319,noth
2320,individu
2321,islam
2322,muslim
2323,shame
2324,islam
2325,http
2326,show
2327,good
2328,face
2329,peopl
2330,good
2331,face
2332,islam
2333,incit
2334,car
2335,attack
2336,prais
2337,synagogu
2338,murder
2339,``
2340,martyr
2341,mahmoud
2342,abba
2343,visit
2344,pari
2345,condemn
2346,terror
2347,http
2348,n't
2349,recogn
2350,ironi
2351,use
2352,method
2353,ignor
2354,muslim
2355,one
2356,buy
2357,``
2358,individu
2359,lie
2360,muslim
2361,extremist
2362,http
2363,allah
2364,word
2365,filth
2366,hatr
2367,phoni
2368,http
2369,suicid
2370,bomb
2371,-year-old
2372,girl
2373,@
2374,nigeria
2375,kill
2376,http
2377,blow
2378,yr
2379,old
2380,girl-inspir
2381,islam
2382,lost
2383,glori
2384,islam
2385,...
2386,what
2387,?
2388,awar
2389,glori
2390,grt
2391,contribut
2392,frm
2393,world
2394,?
2395,old
2396,lie
2397,muslim
2398,repeat
2399,lie
2400,truth
2401,http
2402,choos
2403,defin
2404,quran
2405,follow
2406,extremist
2407,http
2408,piec
2409,time
2410,start
2411,outlaw
2412,new
2413,mosqu
2414,stope
2415,muslim
2416,immigr
2417,export
2418,non
2419,citizen
2420,imam
2421,put
2422,camera
2423,remain
2424,mosqu
2425,jail
2426,imam
2427,teach
2428,aspect
2429,jihad
2430,sexism
2431,etc
2432,mani
2433,time
2434,tell
2435,muslim
2436,extremist
2437,http
2438,cours
2439,radic
2440,islam
2441,definit
2442,sharia
2443,mean
2444,go
2445,back
2446,time
2447,uncivil
2448,``
2449,den
2450,apost
2451,?
2452,murder
2453,sake
2454,religion
2455,could
2456,get
2457,stupid
2458,inhuman
2459,?
2460,pleas
2461,draw
2462,moham
2463,smiley
2464,face
2465,draw
2466,post
2467,http
2468,religi
2469,brother
2470,real
2471,filth
2472,earth
2473,pkk
2474,rescu
2475,yezidi
2476,anim
2477,friend
2478,islam
2479,declar
